timestamp,value
2023-05-14 00:00:00,246.0
2023-05-14 00:05:00,241.0
2023-05-14 00:10:00,235.0
2023-05-14 00:15:00,233.0
2023-05-14 00:20:00,228.0
2023-05-14 00:25:00,227.0
2023-05-14 00:30:00,216.0
2023-05-14 00:35:00,213.0
2023-05-14 00:40:00,215.0
2023-05-14 00:45:00,204.0
2023-05-14 00:50:00,206.0
2023-05-14 00:55:00,210.0
2023-05-14 01:00:00,204.0
2023-05-14 01:05:00,202.0
2023-05-14 01:10:00,204.0
2023-05-14 01:15:00,202.0
2023-05-14 01:20:00,207.0
2023-05-14 01:25:00,207.0
2023-05-14 01:30:00,209.0
2023-05-14 01:35:00,202.0
2023-05-14 01:40:00,211.0
2023-05-14 01:45:00,210.0
2023-05-14 01:50:00,213.0
2023-05-14 01:55:00,212.0
2023-05-14 02:00:00,213.0
2023-05-14 02:05:00,222.0
2023-05-14 02:10:00,222.0
2023-05-14 02:15:00,222.0
2023-05-14 02:20:00,230.0
2023-05-14 02:25:00,230.0
2023-05-14 02:30:00,239.0
2023-05-14 02:35:00,238.0
2023-05-14 02:40:00,245.0
2023-05-14 02:45:00,249.0
2023-05-14 02:50:00,253.0
2023-05-14 02:55:00,257.0
2023-05-14 03:00:00,262.0
2023-05-14 03:05:00,266.0
2023-05-14 03:10:00,270.0
2023-05-14 03:15:00,275.0
2023-05-14 03:20:00,280.0
2023-05-14 03:25:00,284.0
2023-05-14 03:30:00,289.0
2023-05-14 03:35:00,291.0
2023-05-14 03:40:00,298.0
2023-05-14 03:45:00,299.0
2023-05-14 03:50:00,302.0
2023-05-14 03:55:00,309.0
2023-05-14 04:00:00,310.0
2023-05-14 04:05:00,317.0
2023-05-14 04:10:00,318.0
2023-05-14 04:15:00,325.0
2023-05-14 04:20:00,327.0
2023-05-14 04:25:00,325.0
2023-05-14 04:30:00,326.0
2023-05-14 04:35:00,336.0
2023-05-14 04:40:00,335.0
2023-05-14 04:45:00,340.0
2023-05-14 04:50:00,338.0
2023-05-14 04:55:00,341.0
2023-05-14 05:00:00,344.0
2023-05-14 05:05:00,343.0
2023-05-14 05:10:00,347.0
2023-05-14 05:15:00,344.0
2023-05-14 05:20:00,337.0
2023-05-14 05:25:00,346.0
2023-05-14 05:30:00,337.0
2023-05-14 05:35:00,331.0
2023-05-14 05:40:00,339.0
2023-05-14 05:45:00,334.0
2023-05-14 05:50:00,341.0
2023-05-14 05:55:00,331.0
2023-05-14 06:00:00,333.0
2023-05-14 06:05:00,336.0
2023-05-14 06:10:00,325.0
2023-05-14 06:15:00,319.0
2023-05-14 06:20:00,321.0
2023-05-14 06:25:00,320.0
2023-05-14 06:30:00,311.0
2023-05-14 06:35:00,314.0
2023-05-14 06:40:00,312.0
2023-05-14 06:45:00,306.0
2023-05-14 06:50:00,300.0
2023-05-14 06:55:00,297.0
2023-05-14 07:00:00,293.0
2023-05-14 07:05:00,288.0
2023-05-14 07:10:00,288.0
2023-05-14 07:15:00,282.0
2023-05-14 07:20:00,278.0
2023-05-14 07:25:00,275.0
2023-05-14 07:30:00,271.0
2023-05-14 07:35:00,267.0
2023-05-14 07:40:00,264.0
2023-05-14 07:45:00,261.0
2023-05-14 07:50:00,257.0
2023-05-14 07:55:00,254.0
2023-05-14 08:00:00,251.0
2023-05-14 08:05:00,248.0
2023-05-14 08:10:00,245.0
2023-05-14 08:15:00,242.0
2023-05-14 08:20:00,237.0
2023-05-14 08:25:00,235.0
2023-05-14 08:30:00,235.0
2023-05-14 08:35:00,230.0
2023-05-14 08:40:00,228.0
2023-05-14 08:45:00,231.0
2023-05-14 08:50:00,230.0
2023-05-14 08:55:00,226.0
2023-05-14 09:00:00,222.0
2023-05-14 09:05:00,225.0
2023-05-14 09:10:00,219.0
2023-05-14 09:15:00,220.0
2023-05-14 09:20:00,220.0
2023-05-14 09:25:00,218.0
2023-05-14 09:30:00,220.0
2023-05-14 09:35:00,221.0
2023-05-14 09:40:00,224.0
2023-05-14 09:45:00,222.0
2023-05-14 09:50:00,221.0
2023-05-14 09:55:00,226.0
2023-05-14 10:00:00,227.0
2023-05-14 10:05:00,226.0
2023-05-14 10:10:00,232.0
2023-05-14 10:15:00,231.0
2023-05-14 10:20:00,232.0
2023-05-14 10:25:00,236.0
2023-05-14 10:30:00,238.0
2023-05-14 10:35:00,237.0
2023-05-14 10:40:00,239.0
2023-05-14 10:45:00,242.0
2023-05-14 10:50:00,244.0
2023-05-14 10:55:00,247.0
2023-05-14 11:00:00,249.0
2023-05-14 11:05:00,252.0
2023-05-14 11:10:00,253.0
2023-05-14 11:15:00,255.0
2023-05-14 11:20:00,259.0
2023-05-14 11:25:00,260.0
2023-05-14 11:30:00,263.0
2023-05-14 11:35:00,264.0
2023-05-14 11:40:00,267.0
2023-05-14 11:45:00,269.0
2023-05-14 11:50:00,271.0
2023-05-14 11:55:00,272.0
2023-05-14 12:00:00,274.0
2023-05-14 12:05:00,276.0
2023-05-14 12:10:00,276.0
2023-05-14 12:15:00,279.0
2023-05-14 12:20:00,281.0
2023-05-14 12:25:00,280.0
2023-05-14 12:30:00,282.0
2023-05-14 12:35:00,283.0
2023-05-14 12:40:00,284.0
2023-05-14 12:45:00,285.0
2023-05-14 12:50:00,284.0
2023-05-14 12:55:00,286.0
2023-05-14 13:00:00,285.0
2023-05-14 13:05:00,286.0
2023-05-14 13:10:00,284.0
2023-05-14 13:15:00,284.0
2023-05-14 13:20:00,286.0
2023-05-14 13:25:00,283.0
2023-05-14 13:30:00,285.0
2023-05-14 13:35:00,283.0
2023-05-14 13:40:00,282.0
2023-05-14 13:45:00,282.0
2023-05-14 13:50:00,282.0
2023-05-14 13:55:00,280.0
2023-05-14 14:00:00,278.0
2023-05-14 14:05:00,278.0
2023-05-14 14:10:00,276.0
2023-05-14 14:15:00,275.0
2023-05-14 14:20:00,275.0
2023-05-14 14:25:00,274.0
2023-05-14 14:30:00,273.0
2023-05-14 14:35:00,272.0
2023-05-14 14:40:00,271.0
2023-05-14 14:45:00,270.0
2023-05-14 14:50:00,269.0
2023-05-14 14:55:00,268.0
2023-05-14 15:00:00,268.0
2023-05-14 15:05:00,267.0
